,reviewText,predSumary,actualSummary
40,"Ah, the good old days, when simple sprites and ""bleep"" and ""bloop"" sound effects were as good as it got, when nobody complained about spending topdollar on a platforming game that could be beaten in 30minutes, when adding new levels and an increased difficulty but recycling everything else was enough to call a game a fullblown sequel, when magazines were the best if not the only source of gaming news. If the above paragraph made you all warm and fuzzy inside then you need to buy a copy of Retro Game Challenge. Now. The games in this collection are easily as good as anything released in the years they are paying tribute to and are so authentic that you will swear you remember playing them as a kid. The visuals, sound effects, even the slowdown when there are dozens of sprites on the screen, are all recreated with pitch perfect accuracy. But going beyond a mere game collection, Retro Game Challenge let us you relive the experience of gaming in the 80's. You start off with one game, the Galaxian/Galagainspired Cosmic Gate, and a set of 4 challenges to complete beat stage 5, use a warp gate twice, destroy a giant asteroid, and earn 200,000 points. Once you have beaten all four challenges, a new game is ""released"" and you are tasked with completing four more challenges, and so on until all 8 games are unlocked. Once a game is unlocked it is available for play at any time in story mode or freeplay mode and these are COMPLETE games, not minigames!. Along the way, you get access to the fictional GameFan magazine filled with previews of upcoming games basically the games that you will be unlocking and cheats and hints that will help you beat the current set of",No more fun than the old days,This homage to the classics is a classic in its own right
41,"This is an outstanding game. The story is one of the best for a shooter game. Although I think this game is considerably easier than the first, there will still be times where you want to throw the controller through the TV. That is a good thing, if it was too easy it would not feel that you accomplished anything. The first player mode also playable in coop! is fairly long and you will want to play through it again if only to get accomplishments. This game has the same problems the first had with movement. You will unexpectedly get caught up on walls/objects frequently especially when running. This can be frustrating at times and it breaks up your immersion in the game. Side Note: Another problem I have is you must have a Gold account to play coop. I know this is fairly common for XBox games but I do not like having to pay a subscription to play online. I do not want to debate XBox vs. PS3, they BOTH have their pros and cons. Gears 2 also has hoard mode and competitive/versus modes. I have not played any versus modes. Hoard mode is you and up to four others against waves of Locust. Each wave gets progressively harder as you advance. This mode was not as fun as I would have thought. It seems the best way to get to the next wave is to set up a defensive area and wait for them to come to you. I would have preferred to assault the Locust position but the numbers and types of Locust just will not allow that until you have substantially thinned them out. [EditHappy face or smiley I freaking love Hoard mode now. Me and a friend were able to get through all 50",What a great game,Excellent sequel to one of the best games
42,Wonderful Disney movie that I grew up on and my nieces absolutely love! Truly a classic Disney movie that is wonderful to watch.,Great Disney movie!,Great story
43,"I like facial oils and. normally i make my own as i can control ingredients and eliminate synthetic fragrances.
I am trying to simplify my routine and decided to try OTC facial oils.
This one has a nice texture and did not make me break out, which i appreciate.
After using it the first timy the skin around my eyes and my eyelids burned like crazy.
I went to the box and saw it says do not use around eyes, and it most definitely means it.
I am not interested in an oil that is so harsh i cny use around eys as that is where i most need the oil...side note, that one time use helped under eye circles! Too bad i cannot use it for that, and i wish i knew which ingredient was responsible for the improvement.
The fragranc was way to strong and harsh
Lastly, the oils ruined my nail polish..normal OPI polish with seche vite top coat",I like facial oils and. normally i make my own as well,Fragrance too strong and it ate my nail polish!
44,I got this book for my husband who reads a lot of history books...especially WWII books. He enjoyed it.,Great book.,Good history book
45,"rocks. I am very clumsy, and drop my phone even during jogs.  this thing has super protected my phone.  and it fits good into my hand.  i like lots.",i like lots,thise case
46,"This is just an awesome cookbook from cover to cover!  The stories are as beautiful as the pictures.  While the essays are great and the recipes are spot on, I am also very appreciative of the fact that this cookbook educates the reader as well.  I know what part of the pig the hamhock comes from now?!!  Laugh if you will,  but it is true this cookbook taught me that.
If you are a southerner like myself,  then you will feel right at home.  If you are not, then this cookbook poses as a great opportunity to get yourself acquainted with the south and the delicious cuisine it has to offer.",great cookbook,"Fun, informative, delicious recipes"
47,"WinZip maintains a look similar to its previous iterations, a bit oldfashioned, but tried and true with some revamped icons. This was actually nice because I felt right at home jumping in and beginning to use WinZip 18. WinZip integrates into your Windows Explorer just like most compression programs and will replace and enhance your builtin windows zip functionality. The function s that I have found particularly helpful are the following: 1. Add files to recent .zip files. This allows .zip archives to be made from windows explorer rather than within the WinZip program. Files from multiple locations can easily be added to archives. 2. ZipShare. This let us you quickly zip and share files including just a link to a file if stored on the appropriate cloud service, with which WinZip integrates. Unfortunately WinZip charges $10 to integrate this with outlook which I thought was pretty poor form especially for a $60 piece of software. 3. Easily unzip from right click menu. Unzipping from right click menu can be done natively in Windows Explorer but not all formats are supported in Windows and I have not found one yet not supported by WinZip, but with WinZip, you can choose where to extract the file from the menu. Very nice to keep from having multiple nested folders created or to keep from unzipping a large archive directly to your ""downloads"" folder. 4. Resize photos: Very nice, easy to use batch processing feature for photos. If you have need to resize multiple photos, this might add the value to the program necessary for you to purchase. 5. Convert to PDF. You can convert .doc, .docx, .xls, .xlsx, .ppt, and .pptx files to pdf in batch form from within the program. This is a feature that I was happy to find and",Great solution for Windows Explorer,A Bit Expensive But Very Valuable If You Move A Lot of Files
48,"so  what do you do when you find yourself drawn to  your best friends sister  and what happens when the  alphas sister finds herself drawn to  the beta . who  is the packs  playboy  bad boy ,.
and what happens when a human woman comes into the picture can  these two  make it work or will something happen to  jeopardize  that  find out by buying and reading then reviewing  and  stay tuned for  part two  of the  story between Tamsin and Jackson .",A better story than one,"playboy , beta  alpha sister and marriage and human  oh my ."
49,Just like the real thing....easy enough for the younger children and great for the older kids too...my 9 yr old still plays With it!,Great for the older kids too,Best doll stroller ever...
50,"I purchased these shoes with a little bit of doubt that i would like them, but went ahead with it anyway because i have heard such great things about them from friends. when i rec'd the shoes i immediately loved them and at the same time i was a tad bit dissapointed because they were a bit tight on one foot width wise. However, i continued to wear them because i was advised they would stretch to fit. they did exactly that! they fit perfect now and I absolutely LOVE THEM!! I wear them to work everyday, they are very comfortable. I  am definatley planning on purchasing another pair! i rec'd them in a very timely fashion from the seller. I definitly recommend these shoes and this seller!",i love them anyway,love love love!!!
51,"Grandson loved them.  Never had a problem with Tom shoes, only the boots.",Two Stars,Grandson loved them. Never had a problem with Tom shoes
52,Look at all the other reviews! Do not buy this! Literally within 1 minute of using in pool it stopped working.  Could not barely hear it anymore...then randomly worked off and on after that.,Do not buy this! Literally within 1 minute of using in pool it stopped working...,Look at all the other reviews! Don't buy this ...
53,I bought a pair for me and for my boss and we both love them. She loves the so much that she wants me to buy her another pair. They are very comfortable and stylish.,These are comfortable and stylish,Good Shoes
54,"I purchased this item from Amazon and after 4 weeks it still had not arrived, so I got a credit and purchased directly from a well known online photo store. The Grip is for a Panasonic ZS/TZ 100 and it added to the ability to grasp the camera. Basically the camera is small as I wanted and slippery not what I wanted So this grip adds a little extra finger hold. I still ended up putting friction tape on various parts of the camera. The grip is well proportioned for the camera and is NOT slippery, thus a useful addition.",Nice grip.,Extra Handhold for Panasonic Point and Shoot
55,"I use this organizer on my desk and it holds a ton of pens, some notebooks, my mail, paperclips, and post it notes.  The orange color is bright and happy.  It is my favorite item on my desk and is saving lots of space.",Works great!,The orange color is bright and happy. It's my favorite item on my desk and ...
56,"Not the cheapest lights out there, but definitely great lights! I use them in my garden with motion detectors and they easily light up my yard. Happy with these and would recommend them.",Excellent!,Top
57,very good,Five Stars,Five Stars
58,"Decent enough entry level fork. I should have spent more money and gotten forks with more travel as I bottom them out more than I would like. If you weigh more than 150 lbs, get forks with more travel. Lesson learned.",Five Stars,I should have spent more money and gotten forks with more travel as I bottom them out more than I'd like. If you weigh more than
59,"awesome a must for thinning hair, just sprinkle on the area and take fingers and jiggle hair a little and style as usual...it is AMAZING...THIS is a very light blond...they also make a med blond that is great on light blond hair that may cover better...do not use too much bec it can make scalp itchy but you really do not need a lot...",GREAT!!,great for thinning area you want to hide......
60,"Great to throw on to run to the mailbox, but to actually spend a day in them?........Paying for the look.",Three Stars,Not comfortable!
61,Nothing wrong with it but I just do not use them.  The pen seems to be more in the way than an aid although I will admit if multiple users were sharing an iPad this becomes a more sanitary solution for use.,No wrong with it but I just don't use them,Good for Sharing otherwise yawn
62,What is not to love?  It is a freakin' basket that holds what it is supposed to.  It will outlive me.,Five Stars,I'm Reviewing a Basket?
63,Nice little case to keep bobbins and buttons in.  Great price and good quality.,Two Stars,Nice little case - good for multiple uses!
64,"Kapoosh works great for the first few months, or if you hardly ever use it. But my wife and I are avid cooks and discovered that, after about 3 months of use, the product fails miserably. The problem? All those little spaghettilike strands that hold the knives become crossed with one another and when you stick a knife down into it, those strands get cut. So when you go to pull the knife out a bunch of half strands come with it.
Its a great idea, especially for people who seldom cook. But for avid home chefs, count on strands wearing out in just a few months.","Oh, and if you know",Poor product - From a long time user
65,"I thought they would help with rubber stamps better, but they work OK",Good stamps,they work OK
66,Handy tool to have around,Four Stars,Five Stars
67,"Unit works exactly as advertised. Slightly tedious to setup whitelist, depends on how many numbers you want to add. Tested it and it answers with very ominous and offputting message ""warning, this number protected by Sentry call blocker......"". Cannot imagine sales callers doing anything but hanging up. But if it is a real caller they dial 0 to add themselves to whitelist, hang up then call back until they do that your phone does not ring. Wish there was something like this for email!",Worked the same,FINALLY!
68,As always. Best price!,Best price!,Lowest price
69,"This is one of the best routers I have ever owned. It was a breeze to set up, and I have excellent coverage over my entire house to include most of my yard. Would definitely recommend this router to others..",Great router,Amazing coverage!!
70,"Cannot wait to read the next one and the final one, as well!  If you like stories and theories about Atlantis, you will love this book!",Three Stars,Awesome book....
71,GREAT SYRUP !!!!!!!!,Five Stars,Five Stars
72,"Five years have elapsed since the last Civilization title was released. Back in 2005, Civilization IV came on to add some musical and graphical enhancements that Civilization III released in 2001 lacked. Back then, I wrote a review about Civilization IV as being a true ripoff in every sense of the worTongue sticking out, cheeky, playful or blowing a raspberry everything from the intentional incomplete original version that required expansion packs to fill it out, to the poor interface that was redundant or logically absent. I also forewarned, in my review, that expansions were imminent. With the original title running at $50 at the time, and the expansions running about $30 each two total, it was a damn insult that they expected us to drop over $100 on a game that was both an insult to our intelligence and a ripoff. However, per my review, after Civ 4 was finally expanded, it turned out to be a pretty sweet game, though I still recommended that nobody buy it, primarily because the modification process of the game was nearly impossible, in any meaningful sense, for the average gamer. Besides the insult to our intelligence. Lastly, I made a prediction that about five years would go by, and the ""complete"" version a fully expanded game would be less than $20, so if you had to have Civilization IV, just wait a while for it to be worth the expenditure. Well, while I recommended that we wait for Civ 5 to come out and hope that it was better and less of a ripoff, I noticed that Civ 4: Complete Edition is being sold for $12. Through all this, I have been diligently modifying my magnum opus scenario in Civ 3, which I consider to be the best Civ title to date. What",Not an insult to our intelligence and a little depressing,"Again, It Is Time To Wait For The Complete Version"
73,Great product and great seller... Highly Recommended!!!!,Five Stars,Five Stars!!!
74,These glue dots are perfect for my cardmaking. They are perfect size and are very tacky have a good permanent bond.,Great glue dots,Great glue
75,"Long time reader of Rick Riordan's work, I have continued to be impressed with his ability to push himself and his readers beyond the typical formula. Throwing in curve balls, surprises, connections we never would have made, and constantly introducing new characters while letting us know a bit more about the ones we have come to love.

If you have read any of the other books in the Heros of Olympus series, then you will enjoy this book especially after the cliff hanger! I cannot wait for the final book in the series, and to see what Riordan has planned next.",I love Rick Riordan's approach to the story...,He has done it again
76,Broke the first time I tried using it.,Five Stars,One Star
77,really enjoy Chabon's writing  both style  imagination,great,Five Stars
78,"I baught My Autoxray EZScan 6000 about 3 to 4 years ago. I have tested about 3 automobiles for personal use.
The Scanner Quit Working , so i called the help Number. They said that they did no repair on them.
and tried to sell me a new one. They still tell you where to buy them at thier web sight. I lost several hundred Dollers.
!!!!!!!!!Do not buy Autoxray code scanners unless you want grief!!!!!",I lost several hundred Dollers.,Autoexray will not repair after you buy
79,THANKS,Five Stars,Five Stars
80,Glad I read the reviews.  I used it a couple days ago to break some lug nuts and it worked great.  The head is pretty steady and does not wiggle which was a big concern of mines.  I would definitely recommend this to anyone looking for a solid breaker bar.,Good review,Satisfied with the purchase.
81,"I did not know it was precalibrated and I got annoyed I had to order a 500g weight to calibrate it again, because finding 500g of nickels is insane. each nickel is 5g and sometimes more/less depending on dirt buildup....American coins are nasty.",So bad.,Works for me.
82,great series great read great writter great story must reat read . . . . . . . . .,Great,:)
83,Quick delivery and grate products,Five Stars,Five Stars
84,Great gift for a wine lover who likes to drink a glass every night.  Cheap and it will give them a laugh,Great gift for a wine lover who likes to drink one glass every night,Great for the wine lover
85,"These are some great quality jeans. They fit well around the waist and the length was accurate too. They are just a hair too tight but I am anticipating the denim to stretch/wear a bit where it needs it. Specifically it is a little tight through the crotch and thighs, but that is to be expected with a straight leg cut.

No obvious flaws or stray threads.",Great Quality Jeans,These are some great quality jeans
86,Excellent,Five Stars,Five Stars
87,The high pressure hose attachment on the front of the unit is complete junk: the hose was almost impossible to get off after the second use. After the third use I had to cut and tear the plastic surround on the end of the hose to get my pliers on a piece of metal to remove it. Now the threads on the unit itself are stripped and the hose is trash.,Great hose attachment,Should use harder metals
88,Scorsese's finest film in stunning High Definition,Five Stars,Five Stars
89,My favorite grinder,Five Stars,My favorite grinder
90,Excellent album.  Early hard rock  metal.  Some of Halford's greatest vocals.,Five Stars,Excellent album. Early hard rock - metal
91,Looks like it will wear well and I like that it is black. A great value for your money. Thanks AmazonBasics!,Good value for your money,Beefier than Apple's Cable
92,"I would quite easily recommend this game. It has got rave reviews online and I have to say it did not disappoint. We played it for the first time on Boxing Day with my family and after reading the monologue of rules only downside we just got stuck into it and it all came together. Made much more sense and much more enjoyable when we got stuck in and played. Just fair warning, the rules seem a little overwhelming at first especially when you read them out. Much easier if you get the gist and then just start playing. It makes loads more sense.

Game differences from the original works great for me. I kind of purchased this game for these new additions. Most of my friends are new to boardgames so games that are tough/nonforgiving can be too offputting. I really like the use of the stations, tunnels and ferries. The tunnels really add an aspect of luckofthedraw to the game, which is not everyone is favourite but I thought it helped even out the game play between veterans and beginners. It can be frustrating missing out on a tunnel, believe me, I tried 4 times to get one tunnel to win the game but even to my last play, I missed out on the draw. But it made for a very dramatic and suspenseful game, everyone was hanging out to see if I would get it.

I would recommend tallying up your trains at end of game play and recalculating your points. It is easy to forget to move your counter and most of time we have been out a couple of points.",It's been a great game,"After reading all the reviews online, this game did not disappoint. Great one to play with 5 other friends!"
93,I use a different color for different activities and purposes.  This helps me stay organized.,Keeps me organized,Five Stars
94,"This product is BPA free but is made of PVC.  The company told me that they do not add phalates which has been the law since 2008.  However I do not want anything made of PVC and therefore am rating this product both the fruits and vegetables with one star.

On the plus side, these items are extremely realistic looking and are the real life size.  Looks like a lot of fun for my kid if it did not contain PVC.  I opened the item and threw away the box before calling Melissa and Doug and instead of returning it, I am throwing them away.",Beautiful.,Contains PVC
95,I have had this movie for several years but wanted it on Bluray.  It is the very best movie about Kennedy,the very best movie about Kennedy,great movie
96,"I bought this for my brother who is serving in the military. He loves it! And both the chain and the cross seem to be very sturdy and well made. It is slightly bigger than I expected, but he does not seem to mind.",Great cross for my brother who loves it!,And both the chain and the cross seem to be very sturdy and well made
97,does the trick..,Four Stars,Four Stars
98,"I am leaving this review to compare the SainSonic SSZ200DLB with the UltraClear HD DLP LINK 3D Glasses. I am using them with an Acer H5380BD Projector on a 115"" diagonal screen. They both work great! Below I will list, what I think, are some pros and cons of each. I needed three pairs so I thought it would be good to try two different brands. I read good reviews on both and what I read was accurate. UltraClear HD DLP LINK 3D Pros: Good image and color Fit very well Charged up very quickly They sync automatically Have a nice rubberized finish Cons: Make the image sightly darker than Sainsonic USB port cover is tricky to open SainSonic SSZ200DLB Pros: Very good image and colors Lightweight Cons: Need to swap left and right syncing They are a little long and may stick out behind your head and move when you lean your head back in your seat They are both nice glasses, the 3D is great on both. I personally like the rubberized finish on the UltraClears. Plus the fact that they sync automatically, even when you leave the room then come back. The SainSonics do not darken the image as much but also do not sync automatically, which may be an issue for children or technically challenged. Its easy to swap left for right, one quick button press, only that some viewers may not spot the difference. The field of view on the SainSonics is slightly larger than the UCs, but its the difference between seeing four feet on either side of the screen vs eight feet on either side. None of my screen gets cut off with either pair. I have not had them long enough to see which one holds a charge longer but I do",Good quality,Great 3D Experience
99,"Cables work but isolation jacket is poor not rated for heavy abuse such as live, tour, etc.

Connectors are cheap but they work if stationary most of the time.","Cables work but isolation jacket is poor not rated for heavy abuse such as live, tour",Does the job
100,to charge the item this is meant for. The charger and cables are bigger and bulkier than the headphone amplifier,for the charger and cables,There must be a less bulky way
101,Nice,Five Stars,Five Stars
102,Purchased this sweet shirt for my toy poodle. I would recommend ordering a size up. He usually wears a small but the medium was a perfect fit.,Good,Very cute!
103,producted came in perfect shape no issues,Five Stars,Five Stars
104,"The title is the truth.  Anyone who has heard Buddy Guy knows that he was ""born to play guitar"".  This is just one more amazing chance to hear him use his gift.",Five Stars,Sharing His Gift with us all !
