,reviewText,predSumary,actualSummary
10,"Nice color, easy to match with my skin type. Goes on very smooth and great coverage. Love that there is sfp in it too!!","Nice color, easy to see and on my your skin and color is a great color, very nice color!!! I love this color, and I love the color and it is very light and I've ve found it on my skin and it's all over my skin",Awesome Product!!
11,It chip My wife nails in a day. If you have a nail gel nail dryer? Then stick with or go with the gel nail polish. It last longer than this stuff.,It's a nail polish andh for nail nail pail nail p peeper nail peelhes nail nail nail nails nail p nail nail... nail nailer nail pore polis p p polishr nail nail ma nail nail,Chip My Wife Nails
12,This was part of a nail polish gift package for my sister and she loved it. Great color! Excellent service toovery fast shipping and appropriate packaging.,"Great color, great price! Great color and and! great color and great color! Great for the perfect color and a perfect color for a great price and perfect price!!! Great red color and perfect color with a perfect perfect price for a perfect size!","Great product, great service"
13,"Nice quality case with great coloring, look, and feel. The color itself is a little bit on the orangey side of the blush spectrum. I was not sure how this sort of color would look, since i have never ventured toward that direction, but it gives off a nice glow. The blush also has tiny bit of sparkler in it, which is always a step in the right direction. I would buy this as a gift for a friend or family member, the presentation is beautiful.","Nice case, but the color pattern is a different nice Nice color and color and the color is a bit too of a great color, great color and colors are too much much bulky and the colors are a nice lot of color, but it's a bit",Lovely blush
14,"This is just an ok mascara for me. While it does make the lashes look longer, it does not really add any volume. I would say it gives more of a natural look, rather than the ""falsies"" look I am after.

The mascara flakes a little, but only after wearing it most of the day. I have found that is often the tradeoff with nonwaterproof mascaras. You have to put up with some flaking if you want easy removal.

Overall, this is not terrible, but I would not purchase it.",It's ok but it's a just not as much as as I remember the mascara doesn't give a lot of shampoo but it is still a little too much to be a a little darker than I'm supposed to be.,Average
15,"L'OCCITANE HAS A WELL DESERVED REPUTATION FOR WONDERFUL SKIN CARE PRODUCTS.

THIS IS A LOVELY HAND AND BODY LOTION THAT APPLIES EASILY AND SOAKS IN READILY.  NON GREASY, IT DOES NOT LEAVE YOUR HANDS OUT OF COMMISSIONYOU CAN EVEN TOUCH YOUR MOUSE!

ALMOST IMMEDIATELY IMPROVED DRY SKIN ON THE FOREARMS. WELL TOLERATED WITH NO SENSITIVITY.  NO ANNOYING SCENT.

WITH ALL NEW SKIN CARE PRODUCTS, PATCH TESTING IS USUALLY RECOMMENDESadness BEFORE ZEALOUS APPLICATION, APPLY A SMALL AMOUNT TO AN AREA YOU CAN MONITER SUCH AS THE UNDER BELLY OF THE FOREARM. IF NO ITCHING OR REDNESS, IT IS NOT LIKELY THAT AN ALLERGY HAS OCCURRED.  YOU MIGHT THEN WANT TO TRY MORE LIBERAL USE AND GREATER DISTRIBUTION.  BUT, WHEN IN DOUBT, ALWAYS STOP USE AND CONSULT A PHYSICIAN.

OVERALL, I THINK YOU WILL BE PLEASED WITH THIS VERY SPECIAL HAND LOTION, IT IS GREAT!",GREAT PRODUCT.. THE P PERFECTICICICIL... A PRESPOPOINCICIFICICIAL CACIL CARIRIRI CA CA CALL CAAL CAALL CA,"LIGHTLY SCENTED, RICH GENTLE LOTION."
16,"I was looking for something to replace my old antiperspirant when I came across the MenScience brand  strangely I had never seen or heard of it but it seemed to get great reviews. The short version is that this will be my new brand. It is about 4x the cost of my old deoderant/antiperspirant but to me its woth the cost and works well. It does not have a smell as labeled, or at least not that I can smell. I have been using it over a month now and I will continue to from now on.",I've been using this as a replacement replacement for a great product that I had hoped to find out a better alternative to my new medical anti - virus anti - faccinant that this product would have been been been able to to find as good as it's original,New Favorite
17,"Meh... not for me.
A the smell IS ok but kind of piney in a way to me..
B i spray some on my hands and go to wipe it in and my hands absorbed most of it lol... so i had to use alot more.
C per friends, the ph of my skin is NOT a good mix with something in here. i know for sure that ""baby lotion"" that johnson n johnsons in a pink bottle for instance does not mesh well... it turns my skin smelling to pukey fish. no joke! Colognes and lotions i can use, but i have not the foggiest what type of ingredients do not work with the ph of my skin. but, fishy moldy musky pukey smell is not for me n the ladies..",not for me... not sure I I. it.. i am not sure if it's a bad I thought it it is ok. I just wish it was a little too close to. I think it it wasn't a bad smell.,the ph of my skin is NOT a good mix with something in here
18,"Have been using Toppika very good product for sureduring several years now, but amazon offers other hair fibers at a much better price. Spencer Forrest had best begin competing with its prices!","Best hair product I've ever used for for very very high quality hair product for long - lasting years... very good quality, very very long lasting, and very strong, very strong hair, and and has has very long - long lasting and long lasting.",Not a very competitive price
19,"This product struggled a lot to remove gelbased eyeliner, when from the marketing you would expect it to be universal. Aside from that it is been a very standard experience. Goes on easily, leaves your face feeling fresh and clean, good for sensitive skin. Takes off foundation and facial makeup very well. Recommended.","This product is a very good product that has has works does not remove a lot of moisture from the face. I have used it to be able to remove the moisture from from the skin, but it has been been shown shown to be be a good product from your face","Good, not great"
20,It is a perfect color for sunset nail designs!,Perfect for fall or fall! I've vetytylish for my fall or summer or fall or for the perfect!!! I have a perfect shade for a summer or summer!! for a perfect fall or or fall color for fall!! (!,Great for sunsets
21,"I Am in my mid 50s and this is the decade where my neck is starting to get saggy and crepey. This Strivectin Tightening Neck Serum Roller is tailored to the neckwhich is cool as I focus so much on the skin on my face but have not really done anything special for my neck. Aside from containing chemicals like BHT, this is a serum I enjoy and Ill finish the entire tube and buy it if I think the benefits outweigh the chemicals. I love the delivery of the serum in the tube through a metal roller top. It keeps the product fresh and also feels refreshing rolling it over my clean skin. I work it in with my fingertips and apply my favorite firming face cream to my neck afterwards.

I have sensitive skin and have not experienced any irritation, and I find the fragrance so mild I wish Strivectin would leave it out as its just one more unnecessary chemical.  I cannot claim an overnight miracle, but I do get an instant benefit as the skin on my neck definitely feels softer and firmer.  It also looks a little more taut and less crepey.  I Am looking forward to finishing this tube which looks like it could take a few months to see what long range benefits it provides if any and will update if I see a more dramatic result. So far I really like this Strivectin serum, though I Am taking off one star for chemicals like BHT and fragrance. 4 stars.",I'm not sure how to get this these these guys are going to be the best. I've been looking for a long way way to get my wife's shampoo for years and now I have a long shot of rescuit,Feels Good And Skin On My Neck Feels More Firm And Looks Slightly More Taut Already- Does Have Chemicals Like BHT
22,love this product,love this product... this product is is Five Stars love love it. love love love this stuff so I use it it for a great product. love it this product and I use this this for my circumcumcumbromens product,Five Stars
23,love,"love it, love it. it's s t i love it and I will will keep it on my hands.. love it song... it. love the cord cords and love. love love this song. love to try it.",Five Stars
24,"This is a very nice, gentle cleansing oil and no scent that I can pick up on. It does a good job getting off what little makeup I do wear and leaves it feeling soft even without adding some moisturizer. The only downside to this as opposed to other cleansers I have used, is the way it is dispensed. I prefer something with a pump and also this has to go onto a cotton ball or pad and then rubbed on the face as opposed to pumping and washing with water. The 'potion' also separates so the bottle needs a vigorous shaking prior to each use and might be a bit more fuss than every consumer is looking for, especially at that price. YMMV.",A nice clean cleanser that doesn't t Leave it on the bleach cleanser with a little spicy clean cleansing cleanser... very nice cleanser and gentle cleansing and and cleanser but a little moisturizing scent.,Gentle cleaning with no visible odor (a plus for me)
25,"I love Zoya polishes and only one salon other side of town, of course! Sells them. This is a great color. I wanted something other than a nude/pink/classic red I could get away with at work, and this is perfect! I would describe it as a soft, smoky teal. Not too bright, but enough to get a second look and compliment. Happy face or smiley",I love Essie polishes and the polish! I love these pheshes and they are a great polishh!!! I'm love the color and I love the fall in / / / or or or else else!!,Great color!!
26,"This went on my skin smooth  so long as my skin was exfoliated. Blended well, good coverage.  I do not think the cost is extraordinary, although I did not see much difference in this brand between a drugstore brand....","Good coverage, easy to use, smooth skin skin., very smooth, smooth, and easy to apply. I was very smooth on my skin, and it was smooth, but I didn't notice notice my skin skin, but it was very very smooth.",Not much difference
27,"My friend had skin cancer and her doctor recommended trying the Obaji skin line after a procedure and noticed great healing results... and so naturally I tried it and fell in love. While living in Hawaii, sun protection is important and I have tried an array of sunscreens. Obagi's Sun Shield Tint Broad Spectrum SPF 50 provides broad spectrum UVA/UVB protection, protects against infrared rays, enhances your skins natural undertones, is fragrancefree, is light enough for facial coverage without causing pimples or irritation, but has enough oomph to not only give you great protection, but also a tint based coverage so your skin looks awesome! I am now wearing this in lieu of foundation and my coworkers are asking if I got a procedure done because my skin looks so great LOVE!",I love this skincarer and I found found this found out that my skin and my skin did not last long and I'm m very very happy with the skin and the skin I've ve been been been looking for for a new skin conditioner...,My friend had skin cancer and her doctor recommended trying the Obaji skin line...
28,Glycolic but gentle  I use once or twice a week.,"Easy to use, but not very gentle..... I use it very well and easy to use. I recommend. but but not for men and not to use and not for me. love the very very very good but very very little.. but very helpful",Five Stars
29,"This works well as a makeup remover for sensitive skin. It is really light and gentle.
If you are skin is not sensitive though, I would recommend sticking to your regular makeup remover as it does a much better job at removing makeup.

I do have a complaint as well. The cleanser is supposed to be no rinse but my skin becomes very shiny and eventually breaks out unless I wash it off. And when I say shiny, I do not mean oily. It is weird  my skin is clean and dry, and yet it reflects as much light as a puddle in the street.",Works very well for sensitive skin and sensitive skin!!! as as as a very sensitive sensitive sensitive skin as as well!! I would recommend this for sensitive sensitive areas and sensitive sensitive to sensitive skin for a sensitive sensitive face or sensitive sensitive pupple sensitive sensitive and sensitive,Good makeup remover for sensitive skin
30,A cleanser is supposed to cleanse and this does not ,"Cleans clean and cleans cleanser clean. cleanser and clean cleansers clean cleans and cleanses... no no cleanser without cleanser, clean cleansing cleanser!! Cleanser is cleanser. Cleanser clean clean clean.",Umm  no
31,"Burberry Brit Rhythm Floral for Her is okay. I do not love the scent, and I love floralscented perfumes and oils. It did not last the whole day, that I noticed on myself, and no one I asked seemed to think I smelled awesome. If you are a fan of the scent, the large bottle and 2 small purse sprays will keep you happy.
I did like that all three bottles were spray delivery; however, the caps were impossible to remove and I nearly broke each one trying to open them. I twisted in both directions, pulled, pried, and generally got frustrated. I finally removed them, but for such an expensive product I would imagine a higher quality bottle, cap, and spray assembly.","I don't like it, but I not I I love it. I've always loved the scent. I love the scent, but it doesn't smell like her perfume. I like the scent and it's kind of floral's scent.","Burberry, Eh..."
32,"I like the new compact. The product was always great, but as I travel so much the plastic compact eventually would break. So thank to for the improvement to the case.",I like the small size and the size and of and is great. The size of the small and the packaging is like the older version of the the compact but the size is not as great as I was was looking for a larger larger and larger than I was expecting,I like the new compact
33,"Usually, my nail polish chips in 1 day... this one is long lasting, but I find that I need to shake it often almost between each nail or it gets clumpy, and then it dries with a dull finish.  Nothing that a little attention to detail and a clear coat cannot fix.  I am really impressed with the long lasting wear which is what bumped it up from a 3 to a 4.","I love this nail polish but this I I have a long lasting nail ph. I have had a few few weeks weeks, but I have done a long time in my kitchen... but this this has done a lot of nail nail nail..",Long Lasting but has a dull finish
34,I have very sensitive skin.  Over the years I have tried many different things to help.  This is the second order of Proraso Shaving Soap I have made and I do not anticipate changing.  The product lasts a very long time and does not have an overwhelming scent.  This was good for me as I also do not do well with perfumes or lotions that have smells.  This shaving soap has a clean scent but very faint.  The most important thing is that this soap has improved my skin tremendously.  I use this shaving soap and switched to a DE razor.  Although my skin has not been perfect it has been a tremendous amount better using this combination than anything else I have tried through the years.  I am very happy with this purchase.,I love this shaving soap! I have have this this shampoo and this this shavehaving my skin and all day shaving shaving. I have done this this this body body body soap. I I have this done this in my my recent body body and this spoo,I love this shaving soap!
35,This is a great product and offers good coverage with. I like this product on my acrylic nails and I am able to go longer between fills.,This is a great product. I like to this this and I have a great coverage on my face and it is a very good coverage for my skin and thinning skin and it's a good coverage and it has a very thin thin coverage on the thinnest side,base coat shellac
36,"We love the Jack Black line. My husband normally uses the All Over wash on his hair and happily agreed to try this. It is similar in affect, in that it leaves his hair clean, freshly scented and moisturized, which he needs since he does not use conditioner. He washes his hair at least 5 X's a week and this does not dry out his hair. I do believe it is largely due to the removal of sulfates. The tea tree is a nice addition, promoting hair health/growth. It is hard to comment on how well this thickens since my hubby has short hair, however his hair does look great. This would be a product that he probably would not buy for himself, but I would buy for him during holidays.",I love the color and the color of this the my Black Jacket - Black Jack Jacket and I love this Jack Jack and Jacket Jack Jack Jack Cleaner and I Love the Black Jack and White White Jack Jack / Jack Jack - - Red Jacket,We love the Jack Black line
37,"While I have not seen any dramatic changes in my skin, I will say that my skin has felt nicely hydrated for much longer than usual when using a light lotion.  I am quite impressed.  Normally, if I put some lotion on before bed, I cannot feel it on my face in the morning.  When I put this on in the evening, I wake up and my skin still feels nice and moist in the morning.  I love it!","I'm very pleased with my results and and very very pleased. I feel very much much as much as I have noticed noticed my skin condition and my skin, and I feel so much that my skin is very very sensitive sensitive and I am feel very pleased at my skin",Really Leaves My Skin Feeling More Hydrated
38,Good polish,Good polish... very p rich polish and ph polishes are a nice polisolis p polishih paptititizont polishy phyh porantitite polistif,Four Stars
39,"Yes, it works in base, colored  and top coats when they need to be thinned.
I have more than 400 polishes so this one is must have for me.
top coats tend to get gooey easily and this one saves money.","I love this polish, it works!!!,!! it makes a great impression on my skin! I have several polishes, and it's stinks very nicely, it has a very high quality, it doesnt look like it is thick",Works in all type of polish
40,It is a flat neon magenta. Beautiful with a glossy top coat. Excellent price. Full size bottle.,Gorgeous color. Love the color and color!!! color... very bright. Lovely color! The red red with a a vibrant red. The color is brilliant. Love it!! The gold gold and gold. The gold color is amazing..,Excellent.
41,I have dry skin and I use this along with Bioelements Sleepwear before i go to bed.  It is perfect.  It makes the area around my eyes feel soft.  I have not used it long enough to notice any change in the lines around my eyes.,This is perfect for my dry skin and my skin. I have this for my skin and I have used it on my face and my skin skin skin and skin is perfect. I use my skin for my body and my body body and body I have so much to dry my skin,Feels Great
42,Really love the CND products and cannot say enough!  All the colors and products are a must buy and true to colors seen.,"Love the colors and colors and the colors are love!!! I love the company and the color and colors are wonderful and I absolutely love the colors, love the the product and design and the company the are love it and I love them all all the the colors!",Hotski this blue is beautiful
43,"Juicy Couture La La Malibu Eau de Toilette Spray, 2.5 fl. oz.

Another beautiful Juicy Couture perfume in a beautiful bottle with a lovely scent. It is very lively and fresh. It is not over powering. It is light and airy, a mix of flowers and hard fruity candy.  I think it would work well on the younger woman and those that are young at heart. I know I have smelled this scent before and did not know what it was. I think it is great. I am sure your lady will love it and so will you. It will make a great gift for your someone special.","Lovely Comfortable Comb - Co Cosmetics, Cosmuuuva Co Cosm - La La Lavavava La La Pauve Lava Lava - Cosm Cosmsmsmiriac Ciruva - Lava",Lovely bright scent
44,I can just say it is ok; do not see any visible improvements. I do like that it has no parabens though; that is a huge positive! The item came in a bubble type mailer  the cap was broken off  a lot of the serum leaked out; this was very disappointing. I would say this is good for those that are just starting to see some aging; not for visible aging. I am going to give it a bit longer to see if my opinion changes.,It's ok but I don't... I. I I.. but I do not really like it. I think I think think it will be ok but it's sure I do do not not like it but it will definitely be a little bit.,I do like that it has no parabens though
45,"I love this stuff! It is expensive and I Am not overly keen on the smell but it works! Until discovering this product I have been using the Alterna Caviar leavein, which is pretty good too, but its always nice to shake things up a bit. I had read about Oribe hair care being excellent so bought a few of their products ... this moisturizing creme is the only item I will be repurchasing though. This cream does not leave your hair feeling dirty or heavy like so many do and will give you a sleek, healthy look. It makes my bleached, sunfried, hair feel soft and adds a subtle, naturallooking shine. I only wish it were a little less expensive!",I love this stuff! I love it!! I!!!. I love the smell and I've bought! I'm sure I I highly recommend this! I have never used it in my person and I am highly highly recommend it but this is very expensive!,For soft hair ...
46,A must have for any hair...gives shine and healthy manageability!,A must have for all products!!! and!! for!!.!! I can't live without this!! Great for all my bunnidisies! I have all my hair products for my hair and hair products! I will make it!!,I can't live without my CHI!
47,"I have recently tried a different oil moisturizing product which did not do well for me, so my thoughts were that the L'Occitane Divine Youth Oil would be another such product. Turns out I was completely wrong. The Youth Oil has a beautiful scent when you put it on and fades away over hours.

I followed the directions and put it on in the evening and after only one day, I could feel that my face felt softer to the touch. After a week, it feels really soft. I use only a drop or two an evening and at that rate, this bottle will last a long time. I thought it was rather expensive but when the price is broken out over at least three months which is what I am currently estimating for my use, it will not be any more expensive than some of the moisturizing products that I already use from Clinique.

The bottle is lovely to look at and the dropper is easy to use. Just a drop or two into your hand and work into into your face using both hands  that is as simple as it can get. It only takes a minute or two to apply. I then rub the remaining oil into the backs of my hands  which are now feeling softer, too. I figure why waste even a tad of a drop?

This is a product that I will continue to use in the future and I recommend it to anyone with dry skin to help keep your skin as moist as possible.","I don't know how to use this oil oil or this oil is going to be able to use it as a oil oil or oil oil to be oily or oily, but it does do not not seem to be a good oily oil.",Lovely scent and makes my face will soft and smooth
48,"I have been using the Proraso shave cream with great success.  I purchased this ""Soap in the Bowl"" to support a recent vacation as I did not want to travel with my ceramic bowl.  This product provided a very comparable lather and since it was the same ingredients as the cream in the tube, I did not experience any breakouts as a result.  This is a must have for travel or for anyone not wanting to mess with the separates.",The cream in the tubes has done much better. better better than any other shave shave cream... and I have done much of the the cream in my shave soap for a long time than much much more more time than just just as much as I expected,Another Clean Shave
49,"The coverage is very good.  However, I find that my sink has particles in it after I use it, and it does come off on my pillowcase.  However, it does wash out.","The coverage is very good, but I have... am. I'm very thin and I am very dry. I like the coverage, but it is very thin. I have a lot of aloe and that I've noticed that that my skin doesn't leaks",I like this product.
50,"I wanted to give this a try to see if it would work on my oily skin.....it did not. I am a guy, i have always had oily skin so i do not have wrinkles just constant oily looking skin. When i am not able to wash my face, i thought that using this spray would help but again it did not.

However, It has a very fine mist, its cooling and refreshing. This will be great for the summer when you are at the beach and after. I have used it for a few days now and using it as a toner before bed and also for a quick refresh during my day. I can feel the salt and toner sting for about a minute after using, its less than many other toners i have used.

The sprayer is easy to press and again its a fine mist that coats your face evenly. It does get on your chest area too as the mist is wide. Not sure if it would stain or leave a mark on clothing, have not worn anything light colored that would show anything.

Fragrance free, its basically salt water so there is really nothing in it other than the 3 ingredients of water salt and sink not the scientific words but the general plain english. Do not think i would purchase this in the future as i did not see the results i hoped for.","I don't know what to say... this, I would have been able to to give it a skin tone, but it would be a lot of oily skin, it would have give a lot to to have a a lot lot of skin..",Didn't control my oily skin but it is refreshing
51,"I love Shellac and this is a must have color. The price is good, the shipping is great and I am very pleased.",I love this color and the color is very and great I am very pleased and I am am very happy and I love the color and my color and color is great and it I am so pleased and it is a very nice color and I have a very pleased with this,Great Color
52,"I used 2 jars of this and did not see much of a difference.  Maybe a teeny bit but not enough to continue using.  Maybe had I discovered this years ago and incorporated it into my routine it would make a difference but I think genetics win in my case.  Product goes on smooth and has not much scent so it is nice, but just did not seem to work for me.",I didn't know how to use this this the but it was a lot of ingredients. I thought I was looking for a lot more of a acrylic and I found some of the the kind kind and I thought it was going to be good.,Wanted it to work
53,"Ritual's Happy Budda body cream is a very appealing lotion.  The lotion comes is a large red clear plastic tub with a copper colored metal lid.  The container was a lot bigger than I was expecting, and has a generous 7.4oz of lotion inside.

The lotion itself is white and has a thick and gloopy consistency.  It reminds me of Turtle's car wax.  Thankfully, despite the heaviness it goes on very smoothly and absorbs quickly.  It leaves behind no greasy residue, just smooth and supple skin.  It has good staying power and keeps my skin feeling soft for hours.  I had no issues with allergic reactions.

The fragrance is pleasant and smells warm and sweet.  It reminds me of cinnamon.  It smells wonderful while being applied but the scent is not overbearing and either sex can use it.

All in all... a great lotion.","Delicious, fresh, fresh scented, body cream Fresh, fresh fragrance, and a lovely body / cream cream creamy, fresh fresh, and and a wonderful flavor with almond and creamy body cream cream with a wonderful scent.","Pleasant fragrance, nice moisturizing, and pretty packaging."
54,"Vichy is a L' Oreal brand which has been around about 80 years. Made in France. Most of the boxes are printed in something that looks like Russian. I do not know why, that is just the way it is. The box for the mask is printed in English on one panel. To find the ingredients ,and instructions for use, scroll down to the ""product description"" on the product page.

The mask has a very creamy texture with a slight minty fragrance. It goes on smoothly and washes off leaving my face feeling very clean and silky soft. No irritation or dryness. Use once or twice a week.

Expiration date 3/19.",It's a paper that's not cheap black The only thing is that it's supposed to have... but it is supposed to be cheap and it to be destroyed. It doesn't t have to be been cheap. The paper is cheap.,"Vichy Mineral Pore Purifying Facial Clay Mask,."
55,"I love vinylux polishes. I can get about a weeks wear without chipping with them! Versus only about ONE DAY with other polishes because my hands are in water so much.  Some of the vinylux is a little globby like it is old, but it does not seem to affect the staying power  just makes it harder to apply.
The colors are typically a little darker than what is expected  but they are all nice colors  they DRY FAST!",I love these polishes and they are really sparkle are great! I love pheshes and I really polishyhy p polish and they don't last long but but I love them! I I love the phesies!,dries fast - lasts long!
56,"I have been a fan of Mario Badescu products for years, but mostly for preventing acne. Now that I am older, I need to use moisturizing products. I am happy to say that the Herbal Hydrating Serum has no scent. It is a gel serum that makes your face feel cool and smooth. This is a 1 oz bottle, but you only need a tiny amount to use. I used it over my moisturizer, but you can use it alone too. I am impressed with this serum. Recommended.","I have used this for my hair and this my facial sensitive sensitive skin for sensitive sensitive areas and sensitive skin. I have done some good things to remove supplizer for my facial sensitive areas, especially as a acne and supplanator for sensitive skin",Cool and Soothing
57,Love them. Own two plan on getting all. Blends into shadow perfectly. I use them all the time. Cute packaging also.,Love them. Keep them in my house... Love.. Haven't seen them yet yet but have love them. They They keep them in the house. They keep keep them on and keep keep keeps them in all the time. They have them in them,best  ever
58,a true fushia which is really hard to find.  Very nice formular coverage is good and the color is WOW!,"Very good coverage, but pricey and very!!! is!! very very very good quality. It is very very detailed and very very nice color and the color scheme is very good.. very very bright red color... a lot of red color is very bright",Fabulous Fushia
59,"This works really well on my skin for clearing up the occasional stubborn blemish that decides to turn up. I usually rotate from Salicylic acid to benzyl peroxide, so I tend to keep both on hand. I do not like using anything that stands out on my face or just lingers, so this is nice, because it actually goes on clear and dries quickly. After a few minutes, it is like I have nothing on my face, but I know it is working, because I see the results. The only downside is that this a bit pricey. I have found comparable products that work just as well for a fraction of the price. Other than that, it is a really good salicylic acid for sporadic spot treating.","Works very well for sensitive skin and sensitive skin skin for a little amount of greasy and susposative, and and a lot of gritty skin, lots of rosal, and a little lot of scaling skin, and super irritation irritation",Works Well For Spot Treating
60,I love all of the Essie nail polishes. They go on perfectly and last for a lot longer than regular polish.,I love Essie nail polishes andh and polishih p polish and nailh polish pelshesterstersters polishrh... I've ve always always been a favorite nail plerop polishing,As always a great product
61,"I gave this nose and ear hair trimmer to my husband and he loves it. He is not so sure it is worth the Amazon price, but overall he was very pleased with how it works. He said it is a lot like ""nail trimmers""... you place the hair trimmer accordingly squeeze the ends to trim the hair. He said it gets longer hair easily, but not very short hair. He said it does not hurt at all like I thought it would, and you do not even realize the trimmer is working until you look and see the hair inside as proof it did it is job. He is very pleased with the product.",My husband loves it. He is very happy... very..!! I am very pleased with the quality! I'm very happy with the purchase and it's very pleased. I am m m very pleased pleased with with the my husband's purchase.,Husband loves it
62,"Makes me all glowing under the sun, but in indoor ceiling lights, I sparkle like a diamond encrusted vampire that just walked off the set of Twilight. A little bit goes a long way. There are cheaper alternatives out there, but the sparkle is not as refined at the Nuxe version. I use it on summer days when I show some skin. The smell bothers me on some days, but on other days it does not.","I'm in love with the dark side andestest glow in the daylight, and I've seen the gold and all the the way around the the room and I can't even see the daylight in the the hall... but I can see the gold in daylight.",Release Your Inner Vamp...
